sRNA	targetAGI	targetName	5'-RACE validation	tissue of 5'RACE experiment	Publication link	Figure
miR156	AT2G33810	SPL3	yes	shoot apices	http://dev.biologists.org/content/133/18/3539#sec-2	1
miR156	AT1G53160	SPL4	yes	shoot apices	http://dev.biologists.org/content/133/18/3539#sec-3	1
miR156	AT3G15270	SPL5	yes	shoot apices	http://dev.biologists.org/content/133/18/3539#sec-4	1
miR156	AT3G57920	SPL15	yes	seedlings	http://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-12-169	6
miR156	AT5G43270	SPL2	yes	4-week-old flowering Arabidopsis	http://www.sciencedirect.com/science/article/pii/S153458070300025X	6
miR156	AT1G69170	SPL6	yes	Inflorescence	http://www.nature.com/nbt/journal/v26/n8/full/nbt1417.html	S3b
miR159	AT2G26960 	AtMYB81 	yes	Inflorescence	https://silencejournal.biomedcentral.com/articles/10.1186/1758-907X-1-18#MOESM1	5
miR159	AT2G32460 	MYB101	yes	Inflorescence	https://silencejournal.biomedcentral.com/articles/10.1186/1758-907X-1-18#MOESM1	5
miR159	AT2G34010 	unknown 	yes but weak	Inflorescence	http://www.nature.com/nbt/journal/v26/n8/full/nbt1417.html	S3b
miR159	AT5G55020 	ATMYB120 	yes	Inflorescence	https://silencejournal.biomedcentral.com/articles/10.1186/1758-907X-1-18#MOESM1	5
miR319	AT1G30210 	TCP24 	yes	Inflorescence, leaves	https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	4
miR319	AT1G53230	TCP3 	yes	Inflorescence, leaves	https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	4
miR319	AT2G31070	TCP10 	yes	Inflorescence, leaves	https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	4
miR159	AT3G11440 	ATMYB65	yes	Inflorescence, leaves	http://www.sciencedirect.com/science/article/pii/S1534580707001591 , https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	
miR319	AT3G15030 	TCP4 	yes	Inflorescence, leaves	https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	4
miR319	AT4G18390 	TCP2 	yes	Inflorescence, leaves	http://www.sciencedirect.com/science/article/pii/S1534580707001591	5
miR159	AT5G06100	MYB33	yes	Inflorescence, leaves	https://silencejournal.biomedcentral.com/articles/10.1186/1758-907X-1-18#MOESM1 , https://www.nature.com/nature/journal/v425/n6955/full/nature01958.html	5,4
miR160	AT1G77850	ARF17	yes	Inflorescence , 4-week-old flowering Arabidopsis	http://www.plantcell.org/content/17/5/1360 , http://www.sciencedirect.com/science/article/pii/S153458070300025X	6,1
miR160	AT2G28350 	ARF10	yes	Inflorescence , 4-week-old flowering Arabidopsis	http://www.plantcell.org/content/17/5/1360, http://www.sciencedirect.com/science/article/pii/S153458070300025X	6,1
miR160	AT4G30080	ARF16	yes	unclear, most likely whole plant	http://www.plantcell.org/content/17/5/1360	
miR161	AT1G06580	PPR protein 	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR161	AT1G62910 	PPR protein 	yes	inflorescence tissue of 28-d-old, stage 1 to 12 flowers	http://www.plantcell.org/content/19/3/926.long#sec-11	Supp. 2
miR161	AT1G63080	PPR protein 	yes	Inflorescence	http://www.pnas.org/content/104/9/3318.full.pdf	4
miR161	AT1G63130	TPR-like	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	Supp. 2
miR161	AT1G63150 	TPR-like	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR161	AT1G63230	TPR-like	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR161	AT1G63400	PPR protein	yes	inflorescence tissue of 28-d-old, stage 1 to 12 flowers	http://www.plantcell.org/content/19/3/926.long#sec-11	Supp. 2
miR161	AT5G41170 	PPR protein	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR162	AT1G01040 	DCL1	yes	unclear	http://www.sciencedirect.com/science/article/pii/S0960982203002811	1
miR163	AT1G66690 	methyltransferases	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR163	AT1G66700	PXMT1	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR163	AT1G66720	methyltransferases	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR163	AT3G44860	FAMT	yes	Inflorescence	https://www.nature.com/ng/journal/v36/n12/full/ng1478.html	5
miR164	AT1G56010 	NAC1 	yes	seedlings, roots	http://www.plantcell.org/content/17/5/1376.full	1
miR164	AT3G15170 	CUC1 	yes	Inflorescence, leaves	http://www.sciencedirect.com/science/article/pii/S153458070300025X	6
