sRNA	precursor
miR169i	AT3G26812
miR399e	AT2G34204
miR169a-3p	AT3G13405
miR169a-5p	AT3G13405
miR829-3p.2	AT1G32713
miR829-3p.1	AT1G32713
miR829-5p	AT1G32713
miR399f	AT2G34208
miR171b-5p	AT1G11735
miR171b-3p	AT1G11735
miR842	AT1G61224
miR823	AT3G13724
miR405a	AT2G22668
miR166f	AT5G43603
miR841a-3p	AT4G13564
miR841a-5p	AT4G13564
miR169f-5p	AT3G14385
miR169f-3p	AT3G14385
miR164b-3p	AT5G01747
miR164b-5p	AT5G01747
miR390a-3p	AT2G38325
miR390a-5p	AT2G38325
miR2111b-5p	AT5G02035
miR2111b-3p	AT5G02035
miR830-3p	AT1G14071
miR830-5p	AT1G14071
miR419	AT4G32445
miR395b	AT1G26975
miR402	AT1G77235
miR404	AT1G31358
miR822-5p	AT5G03552
miR822-3p	AT5G03552
miR159b-5p	AT1G18075
miR159b-3p	AT1G18075
miR172b-5p	AT5G04275
miR172b-3p	AT5G04275
miR393a-3p	AT2G39885
miR393a-5p	AT2G39885
miR837-3p	AT1G18879
miR837-5p	AT1G18879
miR851-3p	AT3G53016
miR851-5p	AT3G53016
miR169e	AT1G53687
miR157c-3p	AT3G18217
miR157c-5p	AT3G18217
miR868-5p	AT3G18827
miR868-3p	AT3G18827
miR319c	AT2G40805
miR849	AT3G44444
miR848	AT5G13887
miR166c	AT5G08712
miR169j	AT3G26813
miR418	AT3G18895
miR867	AT4G21362
miR169g-5p	AT4G21595
miR169g-3p	AT4G21595
miR394a	AT1G20375
miR168b-3p	AT5G45307
miR168b-5p	AT5G45307
miR391-3p	AT5G60408
miR391-5p	AT5G60408
miR173-3p	AT3G23125
miR173-5p	AT3G23125
miR159c	AT2G46255
miR781a	AT1G21202
miR395f	AT1G69797
miR156d-5p	AT5G10945
miR156d-3p	AT5G10945
miR165b	AT4G00885
miR859	AT1G60072
miR169l	AT3G26816
miR169h	AT1G19371
miR447c-5p	AT4G03438
miR447c-3p	AT4G03438
miR395a	AT1G26973
miR169n	AT3G26819
miR171a-5p	AT3G51375
miR171a-3p	AT3G51375
miR845a	AT4G23387
miR403-5p	AT2G47275
miR403-3p	AT2G47275
miR319a	AT4G23713
miR169k	AT3G26815
miR401	AT4G08116
miR472-5p	AT1G12294
miR472-3p	AT1G12294
miR164a	AT2G47585
miR156e	AT5G11977
miR399a	AT1G29265
miR166g	AT5G63715
miR838	AT1G01046
miR167c-3p	AT3G04765
miR167c-5p	AT3G04765
miR166e-3p	AT5G41905
miR166e-5p	AT5G41905
miR165a-3p	AT1G01183
miR165a-5p	AT1G01183
miR866-5p	AT5G40384
miR866-3p	AT5G40384
miR169m	AT3G26818
miR864-3p	AT1G19464
miR864-5p	AT1G19464
miR398b-5p	AT5G14545
miR398b-3p	AT5G14545
miR865-5p	AT5G15833
miR865-3p	AT5G15833
miR156b-3p	AT4G30972
miR156b-5p	AT4G30972
miR828	AT4G27765
miR843	AT3G48057
miR400	AT1G32582
miR826a	AT4G03039
miR172c	AT3G11435
miR778	AT2G41616
miR777	AT1G70645
miR413	AT1G62355
miR169c	AT5G39635
miR162b-3p	AT5G23065
miR162b-5p	AT5G23065
miR172e-5p	AT5G59505
miR172e-3p	AT5G59505
miR863-3p	AT4G13494
miR863-5p	AT4G13494
miR156g	AT2G19425
miR396b-3p	AT5G35407
miR396b-5p	AT5G35407
miR869.2	AT5G39693
miR869.1	AT5G39693
miR858a	AT1G71002
miR159a	AT1G73687
miR156a-3p	AT2G25095
miR156a-5p	AT2G25095
miR399c-3p	AT5G62162
miR399c-5p	AT5G62162
miR447a-3p	AT4G03445
miR447a.2-3p	AT4G03445
miR426	AT1G60025
miR161.2	AT1G48267
miR161.1	AT1G48267
miR779.1	AT2G22496
miR779.2	AT2G22496
miR156h	AT5G55835
miR420	AT5G62848
miR835-3p	AT1G76062
miR835-5p	AT1G76062
miR856	AT1G32992
miR157a-3p	AT1G66783
miR157a-5p	AT1G66783
miR169b-5p	AT5G24825
miR169b-3p	AT5G24825
miR394b-3p	AT1G76135
miR394b-5p	AT1G76135
miR160a-3p	AT2G39175
miR160a-5p	AT2G39175
miR169d	AT1G53683
miR774a	AT1G60073
miR853	AT3G23326
miR844-3p	AT2G23347
miR844-5p	AT2G23347
miR860	AT5G26038
miR397a	AT4G05105
miR852	AT4G14504
miR156f-5p	AT5G26147
miR156f-3p	AT5G26147
miR167b	AT3G63375
miR395c	AT1G26985
miR405d	AT4G05508
miR836	AT2G25011
miR776	AT1G61732
miR775	AT1G78206
miR171c-5p	AT1G62035
miR171c-3p	AT1G62035
miR833a-3p	AT1G78478
miR833a-5p	AT1G78478
miR780.2	AT4G14811
miR780.1	AT4G14811
miR170-5p	AT5G66045
miR170-3p	AT5G66045
miR160c-3p	AT5G46845
miR160c-5p	AT5G46845
miR160b	AT4G17788
miR158b	AT1G55591
miR399b	AT1G63005
miR771	AT3G53015
miR832-3p	AT4G10345
miR832-5p	AT4G10345
miR840-3p	AT2G02741
miR840-5p	AT2G02741
miR407	AT2G32698
miR157d	AT1G48742
miR166a-5p	AT2G46685
miR166a-3p	AT2G46685
miR319b	AT5G41663
miR158a-5p	AT3G10745
miR158a-3p	AT3G10745
miR773a	AT1G35501
miR172d-5p	AT3G55512
miR172d-3p	AT3G55512
miR862-5p	AT2G25171
miR862-3p	AT2G25171
miR393b-3p	AT3G55734
miR393b-5p	AT3G55734
miR825	AT2G26211
miR398a-5p	AT2G03445
miR398a-3p	AT2G03445
miR827	AT3G59884
miR406	AT1G52185
miR396a-3p	AT2G10606
miR396a-5p	AT2G10606
miR157b-3p	AT1G66795
miR157b-5p	AT1G66795
miR850	AT4G13493
miR447b	AT4G03455
miR166b-3p	AT3G61897
miR166b-5p	AT3G61897
miR390b-3p	AT5G58465
miR390b-5p	AT5G58465
miR417	AT2G32273
miR831-5p	AT2G24103
miR831-3p	AT2G24103
miR405b	AT5G50717
miR397b	AT4G13555
miR839-5p	AT1G67481
miR857	AT4G13554
miR168a-3p	AT4G19395
miR168a-5p	AT4G19395
miR834	AT5G08210
miR395d	AT1G69792
miR845b	AT4G23375
miR846-5p	AT1G61226
miR846-3p	AT1G61226
miR416	AT2G16145
miR395e	AT1G69795
miR847	AT1G07051
miR166d	AT5G08717
miR399d	AT2G34202
miR870-5p	AT5G52797
miR870-3p	AT5G52797
miR861-5p	AT3G48201
miR861-3p	AT3G48201
miR5014b	.
miR8178	.
miR1886.3	.
miR1886.2	.
miR1886.1	.
miR8180	.
miR5658	.
miR162a-5p	.
miR162a-3p	.
miR3933	.
miR4221	.
miR8166	.
miR2934-5p	.
miR2934-3p	.
miR5638a	.
miR156i	.
miR5646	.
miR8121	.
miR5661	.
miR3440b-3p	.
miR3440b-5p	.
miR5595a	.
miR774b-3p	.
miR774b-5p	.
miR5012	.
miR5662	.
miR4240	.
miR8171	.
miR4239	.
miR826b	.
miR8179	.
miR1887	.
miR156j	.
miR854d	.
miR5998b	.
miR5655	.
miR5998a	.
miR5999	.
miR8184	.
miR5017-5p	.
miR5017-3p	.
miR8172	.
miR5023	.
miR3932a	.
miR8169	.
miR2933a	.
miR5026	.
miR5629	.
miR2939	.
miR5651	.
miR5643b	.
miR5653	.
miR8182	.
miR8167e	.
miR5650	.
miR5015	.
miR8174	.
miR5029	.
miR5660	.
miR5648-3p	.
miR5648-5p	.
miR2112-3p	.
miR2112-5p	.
miR8183	.
miR4245	.
miR5635a	.
miR5640	.
miR833b	.
miR8167d	.
miR2938	.
miR5656	.
miR2936	.
miR5019	.
miR5631	.
miR4227	.
miR5647	.
miR1888a	.
miR415	.
miR858b	.
miR854e	.
miR8173	.
miR8165	.
miR3434-3p	.
miR3434-5p	.
miR8167a	.
miR5996	.
miR5642b	.
miR5630a	.
miR5659	.
miR2933b	.
miR5644	.
miR5666	.
miR5016	.
miR5630b	.
miR5997	.
miR5641	.
miR8175	.
miR4228-3p	.
miR4228-5p	.
miR5995b	.
miR5645d	.
miR8176	.
miR5628	.
miR2937	.
miR5024-3p	.
miR5024-5p	.
miR773b-3p	.
miR773b-5p	.
miR5657	.
miR5025	.
miR5639-5p	.
miR5639-3p	.
miR5645a	.
miR5633	.
miR8167f	.
miR5645e	.
miR5027	.
miR5652	.
miR854b	.
miR5018	.
miR5028	.
miR782	.
miR5636	.
miR8167c	.
miR5020b	.
miR5665	.
miR5663-5p	.
miR5663-3p	.
miR5020a	.
miR5643a	.
miR5645b	.
miR3932b-5p	.
miR3932b-3p	.
miR5642a	.
miR854c	.
miR5014a-5p	.
miR5014a-3p	.
miR854a	.
miR4243	.
miR1888b	.
miR5632-5p	.
miR5632-3p	.
miR5664	.
miR5021	.
miR8181	.
miR781b	.
miR5637	.
miR5645f	.
miR855	.
miR5020c	.
miR5635c	.
miR8167b	.
miR5635b	.
miR8168	.
miR5635d	.
miR5645c	.
miR8170-3p	.
miR8170-5p	.
miR5638b	.
miR841b-3p	.
miR841b-5p	.
miR8177	.
miR5649b	.
miR5013	.
miR5022	.
miR5634	.
miR5649a	.
miR5654-5p	.
miR5654-3p	.
miR163	AT1G66725
miR167d	AT1G31173
miR156c-5p	AT4G31877
miR156c-3p	AT4G31877
miR824-5p	AT4G24415
miR824-3p	AT4G24415
miR167a-3p	AT3G22886
miR167a-5p	AT3G22886
miR164c-3p	AT5G27807
miR164c-5p	AT5G27807
miR408-5p	AT2G47015
miR408-3p	AT2G47015
miR414	AT1G67195
miR2111a-3p	AT3G09285
miR2111a-5p	AT3G09285
miR172a	AT2G28056
miR398c-3p	AT5G14565
miR398c-5p	AT5G14565
TAS4-3'D7[-]	AT3G25795
TAS4-3'D9[+]	AT3G25795
TAS4-3'D4[-]	AT3G25795
TAS4-3'D1[+]	AT3G25795
TAS4-3'D4[+]	AT3G25795
TAS4-3'D5[-]	AT3G25795
TAS4-3'D5[+]	AT3G25795
TAS4-3'D1[-]	AT3G25795
TAS4-3'D8[-]	AT3G25795
TAS4-3'D2[+]	AT3G25795
TAS4-3'D10[-]	AT3G25795
TAS4-3'D3[+]	AT3G25795
TAS4-3'D2[-]	AT3G25795
TAS4-3'D6[+]	AT3G25795
TAS4-3'D10[+]	AT3G25795
TAS4-3'D6[-]	AT3G25795
TAS4-3'D3[-]	AT3G25795
TAS4-3'D9[-]	AT3G25795
TAS4-3'D8[+]	AT3G25795
TAS4-3'D7[+]	AT3G25795
TAS3C-5'D7[-]	AT5G57735
TAS3C-5'D4[-]	AT5G57735
TAS3C-5'D10[+]	AT5G57735
TAS3C-5'D1[+]	AT5G57735
TAS3C-5'D2[+]	AT5G57735
TAS3C-5'D8[+]	AT5G57735
TAS3C-5'D4[+]	AT5G57735
TAS3C-5'D7[+]	AT5G57735
TAS3C-5'D8[-]	AT5G57735
TAS3C-5'D9[-]	AT5G57735
TAS3C-5'D3[-]	AT5G57735
TAS3C-5'D2[-]	AT5G57735
TAS3C-5'D1[-]	AT5G57735
TAS3C-5'D5[-]	AT5G57735
TAS3C-5'D3[+]	AT5G57735
TAS3C-5'D6[+]	AT5G57735
TAS3C-5'D9[+]	AT5G57735
TAS3C-5'D5[+]	AT5G57735
TAS3C-5'D6[-]	AT5G57735
TAS3C-5'D10[-]	AT5G57735
TAS2-3'D7[+]	AT2G39681
