target.transcript	sRNA	slice.site	Allen.score	slice.site.rpm	fold.change	verified.	common.name	interaction	adj.p.val
AT2G33860.1	TAS3C-5'D5[+]	1685	1.5	0.384343	1.384343	yes	ARF3	TAS3C-5'D5[+]:ARF3	0
AT5G60450.1	TAS3A-5'D8[+]	1884	1	0.557298	1.17382029890886	yes	ARF4	TAS3A-5'D8[+]:ARF4	0
AT5G60450.1	TAS3A-5'D7[+]	2094	1.5	0.280571	1.09894976949509	yes	ARF4	TAS3A-5'D7[+]:ARF4	0
AT5G18040.1	TAS1A-3'D2[+]	685	2	1.80257	1.28110457940593	yes	NA	TAS1A-3'D2[+]:AT5G18040.1	0.0452799857306484
AT2G25930.1	TAS3C-5'D10[+]	2440	5	13.0715	8.73406219081799	no	ELF3	TAS3C-5'D10[+]:ELF3	0.507422468333224
AT1G07670.1	TAS3A-5'D2[+]	282	3.5	0.280571	1.280571	no	ATECA4	TAS3A-5'D2[+]:ATECA4	0.516984648237725
AT5G60120.2	TAS3B-5'D9[+]	1693	3	0.322848	0.821080673773172	no	TOE2	TAS3B-5'D9[+]:TOE2	0.900363028107832
AT5G57040.1	TAS2-3'D2[-]	760	2	0.395874	0.842294990366438	no	NA	TAS2-3'D2[-]:AT5G57040.1	0.958023136317875
AT1G01630.1	TAS3C-5'D9[+]	856	5.5	1.56428	0.787531095482325	no	NA	TAS3C-5'D9[+]:AT1G01630.1	0.999940785974165
AT1G01820.1	TAS1A-3'D2[-]	823	6	0.230606	0.531705588800795	no	PEX11C	TAS1A-3'D2[-]:PEX11C	0.999940785974165
AT1G02190.2	TAS3A-5'D4[+]	1614	6	0.295944	0.71108233493096	no	NA	TAS3A-5'D4[+]:AT1G02190.2	0.999940785974165
AT1G02500.2	TAS3B-5'D7[-]	1326	6	0.280571	0.222987218778296	no	AtSAM1	TAS3B-5'D7[-]:AtSAM1	0.999940785974165
AT1G04770.1	TAS3A-5'D8[+]	931	5.5	0.326692	0.84565803262053	no	NA	TAS3A-5'D8[+]:AT1G04770.1	0.999940785974165
AT1G04810.1	TAS3B-5'D10[+]	2247	6	0.222919	0.871297364346829	no	NA	TAS3B-5'D10[+]:AT1G04810.1	0.999940785974165
AT1G07320.4	TAS1B-3'D4[-]	853	6	0.684131	0.112062481285557	no	EMB2784	TAS1B-3'D4[-]:EMB2784	0.999940785974165
AT1G07750.1	TAS4-3'D9[+]	870	6	0.422778	0.469667550250385	no	NA	TAS4-3'D9[+]:AT1G07750.1	0.999940785974165
AT1G08510.1	TAS3B-5'D7[+]	1537	4.5	0.530394	0.625894737703108	no	FATB	TAS3B-5'D7[+]:FATB	0.999940785974165
AT1G08820.2	TAS3A-5'D1[+]	111	5.5	0.13452	0.867718312013614	no	VAP27-2	TAS3A-5'D1[+]:VAP27-2	0.999940785974165
AT1G10670.4	TAS4-3'D4[+]	690	5.5	1.73339	1.2494811713186	no	ACLA-1	TAS4-3'D4[+]:ACLA-1	0.999940785974165
AT1G11860.3	TAS3B-5'D1[+]	1447	6	1.45666	0.580979453609808	no	NA	TAS3B-5'D1[+]:AT1G11860.3	0.999940785974165
AT1G11910.1	TAS4-3'D7[-]	1668	5	0.438151	0.361117639673572	no	APA1	TAS4-3'D7[-]:APA1	0.999940785974165
AT1G12090.1	TAS4-3'D7[+]	784	5.5	1.04541	0.0912180633537436	no	ELP	TAS4-3'D7[+]:ELP	0.999940785974165
AT1G12140.2	TAS3C-5'D4[-]	1441	5.5	0.203702	0.575509911357182	no	FMO GS-OX5	TAS3C-5'D4[-]:FMO GS-OX5	0.999940785974165
AT1G12800.1	TAS1C-3'D7[-]	1774	6	0.933954	0.898247585960251	no	NA	TAS1C-3'D7[-]:AT1G12800.1	0.999940785974165
AT1G12850.1	TAS3C-5'D3[+]	80	5.5	0.280571	0.693867698334647	no	NA	TAS3C-5'D3[+]:AT1G12850.1	0.999940785974165
AT1G12930.1	TAS3A-5'D6[+]	3073	6	0.388187	1.09058405950582	no	NA	TAS3A-5'D6[+]:AT1G12930.1	0.999940785974165
AT1G13020.1	TAS3B-5'D7[+]	1893	5	0.36897	0.962181028944783	no	EIF4B2	TAS3B-5'D7[+]:EIF4B2	0.999940785974165
AT1G13690.1	TAS3C-5'D3[+]	550	5.5	0.24598	0.521042771356406	no	ATE1	TAS3C-5'D3[+]:ATE1	0.999940785974165
AT1G14460.1	TAS3C-5'D9[+]	160	4.5	0.00384343	0.578885730663124	no	NA	TAS3C-5'D9[+]:AT1G14460.1	0.999940785974165
AT1G15270.1	TAS3B-5'D9[+]	207	6	4.51219	0.437225553651881	no	NA	TAS3B-5'D9[+]:AT1G15270.1	0.999940785974165
AT1G16705.2	TAS2-3'D5[+]	344	6	0.315162	0.902422104491038	no	NA	TAS2-3'D5[+]:AT1G16705.2	0.999940785974165
AT1G17490.1	TAS1A-3'D5[+]	342	6	0.322848	0.398276645902518	no	NA	TAS1A-3'D5[+]:AT1G17490.1	0.999940785974165
AT1G17950.1	TAS4-3'D7[+]	892	5	0.12299	1.12299	no	ATMYB52	TAS4-3'D7[+]:ATMYB52	0.999940785974165
AT1G21350.3	TAS1B-3'D10[+]	805	6	0.211389	0.650959278940787	no	NA	TAS1B-3'D10[+]:AT1G21350.3	0.999940785974165
AT1G22882.1	TAS1B-3'D4[-]	2017	5	0.0653384	0.593307941507838	no	NA	TAS1B-3'D4[-]:AT1G22882.1	0.999940785974165
AT1G23190.1	TAS3C-5'D9[+]	1230	5	0.39203	0.643100676349928	no	PGM3	TAS3C-5'D9[+]:PGM3	0.999940785974165
AT1G23190.1	TAS3B-5'D6[+]	1786	6	1.77951	1.08719427049312	no	PGM3	TAS3B-5'D6[+]:PGM3	0.999940785974165
AT1G24260.3	TAS3B-5'D7[-]	1038	5	0.26904	0.310854074656516	no	AGL9	TAS3B-5'D7[-]:AGL9	0.999940785974165
AT1G26710.1	TAS3B-5'D6[+]	589	5.5	0.522707	1.0285579382733	no	NA	TAS3B-5'D6[+]:AT1G26710.1	0.999940785974165
AT1G26761.1	TAS1B-3'D4[-]	1292	4	0.153737	0.465269062636104	no	NA	TAS1B-3'D4[-]:AT1G26761.1	0.999940785974165
AT1G27750.1	TAS3B-5'D3[+]	3223	5	0.288258	0.811222603893466	no	NA	TAS3B-5'D3[+]:AT1G27750.1	0.999940785974165
AT1G27752.2	TAS4-3'D4[+]	2675	4.5	0.207545	0.344053439551422	no	NA	TAS4-3'D4[+]:AT1G27752.2	0.999940785974165
AT1G28340.1	TAS4-3'D4[+]	559	5	0.361283	0.903107010859578	no	AtRLP4	TAS4-3'D4[+]:AtRLP4	0.999940785974165
AT1G30360.1	TAS2-3'D3[+]	2344	5.5	0.534237	0.619673409050519	no	ERD4	TAS2-3'D3[+]:ERD4	0.999940785974165
AT1G31330.1	TAS3C-5'D1[+]	358	5	0.215232	0.0821646766101878	no	PSAF	TAS3C-5'D1[+]:PSAF	0.999940785974165
AT1G32130.2	TAS4-3'D2[-]	278	5	0.299788	0.766537199040846	no	ATIWS1	TAS4-3'D2[-]:ATIWS1	0.999940785974165
AT1G42550.1	TAS3A-5'D1[+]	2397	4.5	0.457369	0.83303457618593	no	PMI1	TAS3A-5'D1[+]:PMI1	0.999940785974165
AT1G43170.9	TAS2-3'D8[-]	1172	5	0.388187	0.144810525096936	no	ARP1	TAS2-3'D8[-]:ARP1	0.999940785974165
AT1G44760.1	TAS1A-3'D8[-]	386	6	0.810965	0.585188404579487	no	NA	TAS1A-3'D8[-]:AT1G44760.1	0.999940785974165
AT1G45160.2	TAS1A-3'D9[+]	3514	5.5	0.418934	0.953510344623672	no	NA	TAS1A-3'D9[+]:AT1G45160.2	0.999940785974165
AT1G47830.1	TAS2-3'D4[-]	246	4	0.24598	0.731488809098317	no	NA	TAS2-3'D4[-]:AT1G47830.1	0.999940785974165
AT1G50920.1	TAS4-3'D2[-]	1957	5	0.14605	0.489480472887553	no	NA	TAS4-3'D2[-]:AT1G50920.1	0.999940785974165
AT1G52670.1	TAS2-3'D3[-]	1010	4.5	0.415091	0.632417467006914	no	NA	TAS2-3'D3[-]:AT1G52670.1	0.999940785974165
AT1G53910.3	TAS3C-5'D2[-]	1460	4.5	0.453525	0.431133950287714	no	RAP2.12	TAS3C-5'D2[-]:RAP2.12	0.999940785974165
AT1G54060.1	TAS3B-5'D7[+]	1148	5.5	0.165268	0.814607837311643	no	ASIL1	TAS3B-5'D7[+]:ASIL1	0.999940785974165
AT1G54570.1	TAS3C-5'D4[+]	1791	5	0.572672	0.951183754046247	no	PES1	TAS3C-5'D4[+]:PES1	0.999940785974165
AT1G56070.1	TAS1C-3'D6[-]	2382	5	2.04086	0.326370933725726	no	LOS1	TAS1C-3'D6[-]:LOS1	0.999940785974165
AT1G56210.1	TAS3A-5'D2[-]	1142	5.5	0.434308	0.992025385969936	no	NA	TAS3A-5'D2[-]:AT1G56210.1	0.999940785974165
AT1G56280.2	TAS3B-5'D7[+]	853	5.5	0.480429	0.515514581701053	no	ATDI19	TAS3B-5'D7[+]:ATDI19	0.999940785974165
AT1G58602.2	TAS1C-3'D7[-]	707	4.5	0.376657	1.20526051757694	no	NA	TAS1C-3'D7[-]:AT1G58602.2	0.999940785974165
AT1G60810.1	TAS1C-3'D7[+]	365	5	0.153737	0.810904441873574	no	ACLA-2	TAS1C-3'D7[+]:ACLA-2	0.999940785974165
AT1G62360.1	TAS1A-3'D8[-]	1053	3.5	0.153737	0.608665168397063	no	BUM	TAS1A-3'D8[-]:BUM	0.999940785974165
AT1G64330.1	TAS3C-5'D2[-]	1889	4.5	0.319005	0.922081281261688	no	NA	TAS3C-5'D2[-]:AT1G64330.1	0.999940785974165
AT1G64430.2	TAS1B-3'D7[-]	748	6	0.376657	1.03168365209584	no	NA	TAS1B-3'D7[-]:AT1G64430.2	0.999940785974165
AT1G65010.1	TAS1A-3'D9[-]	390	4	0.303631	0.668759182651663	no	NA	TAS1A-3'D9[-]:AT1G65010.1	0.999940785974165
AT1G65295.1	TAS4-3'D9[+]	215	4.5	0.330535	0.592594654540434	no	NA	TAS4-3'D9[+]:AT1G65295.1	0.999940785974165
AT1G65960.2	TAS3B-5'D6[+]	1452	6	1.38364	0.433034789717504	no	GAD2	TAS3B-5'D6[+]:GAD2	0.999940785974165
AT1G66350.1	TAS1C-3'D7[-]	1591	5	1.13381	0.468435934474598	no	RGL	TAS1C-3'D7[-]:RGL	0.999940785974165
AT1G66760.2	TAS3C-5'D3[+]	218	6	0.176798	1.176798	no	NA	TAS3C-5'D3[+]:AT1G66760.2	0.999940785974165
AT1G67840.2	TAS3A-5'D6[-]	1915	6	0.24598	0.58078439781107	no	CSK	TAS3A-5'D6[-]:CSK	0.999940785974165
AT1G71300.1	TAS4-3'D2[-]	1919	5.5	0.165268	1.165268	no	NA	TAS4-3'D2[-]:AT1G71300.1	0.999940785974165
AT1G72260.1	TAS2-3'D3[+]	140	6	0.338222	0.703140541202297	no	THI2.1	TAS2-3'D3[+]:THI2.1	0.999940785974165
AT1G73480.1	TAS3C-5'D3[+]	1878	5	0.334379	1.01461188811721	no	NA	TAS3C-5'D3[+]:AT1G73480.1	0.999940785974165
AT1G73760.1	TAS4-3'D4[+]	1036	6	0.530394	0.805740237258367	no	NA	TAS4-3'D4[+]:AT1G73760.1	0.999940785974165
AT1G74030.1	TAS3C-5'D4[+]	760	5	0.51502	1.02071519188182	no	ENO1	TAS3C-5'D4[+]:ENO1	0.999940785974165
AT1G74160.1	TAS3C-5'D9[+]	524	6	0.119146	0.646810984758289	no	TRM4	TAS3C-5'D9[+]:TRM4	0.999940785974165
AT1G75270.1	TAS1C-3'D9[+]	199	6	0.49196	0.825600499357818	no	DHAR2	TAS1C-3'D9[+]:DHAR2	0.999940785974165
AT1G75550.1	TAS3A-5'D1[+]	289	6	0.138364	0.660853633474711	no	NA	TAS3A-5'D1[+]:AT1G75550.1	0.999940785974165
AT1G75950.1	TAS4-3'D4[+]	215	6	0.933954	0.919586128849729	no	ASK1	TAS4-3'D4[+]:ASK1	0.999940785974165
AT1G79060.1	TAS1A-3'D7[-]	1110	5.5	0.211389	0.853731745098785	no	NA	TAS1A-3'D7[-]:AT1G79060.1	0.999940785974165
AT1G80000.2	TAS3C-5'D10[+]	357	5.5	0.00768687	0.753004262372013	no	NA	TAS3C-5'D10[+]:AT1G80000.2	0.999940785974165
AT2G01250.2	TAS3B-5'D7[+]	156	5.5	0.319005	0.307461806348748	no	NA	TAS3B-5'D7[+]:AT2G01250.2	0.999940785974165
AT2G01850.1	TAS3C-5'D10[+]	917	6	0.553454	0.943948977241862	no	ATXTH27	TAS3C-5'D10[+]:ATXTH27	0.999940785974165
AT2G03680.2	TAS4-3'D2[-]	310	5.5	1.7257	1.11299852591089	no	SKU6	TAS4-3'D2[-]:SKU6	0.999940785974165
AT2G07675.1	TAS4-3'D9[+]	34	6	0.24598	0.762455734328254	no	NA	TAS4-3'D9[+]:AT2G07675.1	0.999940785974165
