sRNA	Transcript	Slice.site	AllenScore	flankMax.rpm	slice.site.rpm	slice.site.hit.norm
TAS1A-3'D10[-]	AT2G30520.3	1670	5.5	1.65651999999999999247	0.119146	0.31
TAS1A-3'D2[+]	AT5G07030.1	965	4	1.91786999999999996369	0.338222	0.88
TAS1A-3'D2[+]	AT5G18040.1	685	2	1.18761999999999989797	1.80257	4.69
TAS1A-3'D2[-]	AT1G01820.1	823	6	1.31444999999999989626	0.230606	0.6
TAS1A-3'D2[-]	AT5G14030.4	645	5	3.94721000000000010743	0.384343	1.0
TAS1A-3'D3[-]	AT5G13340.1	552	6	0.365126000000000006107	0.238293	0.62
TAS1A-3'D4[+]	AT5G18040.1	685	5	1.18761999999999989797	1.80257	4.69
TAS1A-3'D4[+]	AT5G52070.1	755	6	0.392029999999999989591	0.403561	1.05
TAS1A-3'D5[+]	AT1G17490.1	342	6	2.32142999999999988248	0.322848	0.84
TAS1A-3'D5[-]	AT5G35700.1	1457	5	0	0.311318	0.81
TAS1A-3'D6[+]	AT5G07030.1	965	6	1.91786999999999996369	0.338222	0.88
TAS1A-3'D6[+]	AT5G18040.1	685	3	1.18761999999999989797	1.80257	4.69
TAS1A-3'D6[+]	AT5G20190.1	644	5.5	2.18691000000000013159	1.24143	3.23
TAS1A-3'D6[+]	AT5G52070.1	755	5	0.392029999999999989591	0.403561	1.05
TAS1A-3'D7[-]	AT1G79060.1	1110	5.5	0.418933999999999973074	0.211389	0.55
TAS1A-3'D7[-]	AT5G63810.1	2150	6	0.803278000000000047542	0.311318	0.81
TAS1A-3'D8[-]	AT1G44760.1	386	6	2.09466999999999980986	0.810965	2.11
TAS1A-3'D8[-]	AT1G62360.1	1053	3.5	0.895519999999999982698	0.153737	0.4
TAS1A-3'D8[-]	AT5G50460.1	189	4	27.722699999999999676	2.43289	6.33
TAS1A-3'D9[+]	AT1G45160.2	3514	5.5	0.48811599999999999433	0.418934	1.09
TAS1A-3'D9[-]	AT1G65010.1	390	4	0.949327999999999949665	0.303631	0.79
TAS1B-3'D10[+]	AT1G21350.3	805	6	0.860929000000000055337	0.211389	0.55
TAS1B-3'D10[-]	AT3G26110.1	528	5.5	0.407403999999999988368	0.726409	1.89
TAS1B-3'D4[-]	AT1G07320.4	853	6	14.0284999999999993037	0.684131	1.78
TAS1B-3'D4[-]	AT1G22882.1	2017	5	0.795591000000000048153	0.0653384	0.17
TAS1B-3'D4[-]	AT1G26761.1	1292	4	1.47971999999999992426	0.153737	0.4
TAS1B-3'D4[-]	AT1G50055.1	445	0	0.48811599999999999433	0.261354	0.68
TAS1B-3'D4[-]	AT2G36160.1	536	5.5	5.01567999999999969418	1.4067	3.66
TAS1B-3'D4[-]	AT4G01000.1	509	5.5	0.549610999999999960686	0.584202	1.52
TAS1B-3'D4[-]	AT4G13670.1	511	6	14.5282000000000000028	0.161424	0.42
TAS1B-3'D4[-]	AT4G32410.1	3035	6	0.676444000000000045247	0.0999293	0.26
TAS1B-3'D4[-]	AT4G35110.4	1131	5.5	0.757156000000000051209	0.995449	2.59
TAS1B-3'D4[-]	AT5G13100.1	1010	4.5	0.960857999999999989882	0.13452	0.35
TAS1B-3'D4[-]	AT5G28540.1	1747	5	1.76414000000000004142	0.734096	1.91
TAS1B-3'D5[+]	AT5G18040.1	685	5	1.18761999999999989797	1.80257	4.69
TAS1B-3'D5[+]	AT5G52070.1	755	4.5	0.392029999999999989591	0.403561	1.05
TAS1B-3'D6[+]	AT5G07030.1	965	6	1.91786999999999996369	0.338222	0.88
TAS1B-3'D6[+]	AT5G18040.1	685	3	1.18761999999999989797	1.80257	4.69
TAS1B-3'D6[+]	AT5G20190.1	644	5.5	2.18691000000000013159	1.24143	3.23
TAS1B-3'D6[+]	AT5G52070.1	755	5	0.392029999999999989591	0.403561	1.05
TAS1B-3'D7[-]	AT1G64430.2	748	6	0.334378999999999981796	0.376657	0.98
TAS1B-3'D7[-]	AT5G50320.1	1097	5	0.67260100000000000442	0.203702	0.53
TAS1B-3'D9[+]	ATCG01040.1	199	3.5	21.3810000000000002274	0.261354	0.68
TAS1C-3'D10[+]	AT4G36195.3	485	6	0.964701999999999948443	0.64954	1.69
TAS1C-3'D3[+]	AT5G07030.1	965	6	1.91786999999999996369	0.338222	0.88
TAS1C-3'D3[+]	AT5G18040.1	685	3	1.18761999999999989797	1.80257	4.69
TAS1C-3'D3[+]	AT5G20190.1	644	5.5	2.18691000000000013159	1.24143	3.23
TAS1C-3'D3[+]	AT5G52070.1	755	5	0.392029999999999989591	0.403561	1.05
TAS1C-3'D4[+]	AT5G18040.1	685	6	1.18761999999999989797	1.80257	4.69
TAS1C-3'D5[+]	AT1G45160.2	3514	6	0.48811599999999999433	0.418934	1.09
TAS1C-3'D5[+]	AT5G09810.1	1319	5.5	9.73541999999999951854	1.2299	3.2
TAS1C-3'D5[-]	AT5G61820.1	1236	6	0.730252000000000012214	0.161424	0.42
TAS1C-3'D6[-]	AT1G56070.1	2382	5	8.31719000000000008299	2.04086	5.31
TAS1C-3'D6[-]	AT2G30520.3	1670	5.5	1.65651999999999999247	0.119146	0.31
TAS1C-3'D7[+]	AT1G60810.1	365	5	0.422777999999999987146	0.153737	0.4
TAS1C-3'D7[+]	AT4G31340.2	1503	6	1.44897000000000009123	0.126833	0.33
TAS1C-3'D7[+]	AT5G53570.2	2146	6	1.16456000000000003958	1.03773	2.7
TAS1C-3'D7[-]	AT1G12800.1	1774	6	1.15302999999999999936	0.933954	2.43
TAS1C-3'D7[-]	AT1G58602.2	707	4.5	0.142207000000000000073	0.376657	0.98
TAS1C-3'D7[-]	AT1G66350.1	1591	5	3.55518000000000000682	1.13381	2.95
TAS1C-3'D7[-]	AT3G02080.1	447	5	6.268640000000000434	1.58734	4.13
TAS1C-3'D7[-]	AT3G49430.3	247	5.5	0.126833000000000001295	0.272884	0.71
TAS1C-3'D7[-]	AT4G27760.1	722	4	0.983918999999999988049	0.330535	0.86
TAS1C-3'D7[-]	AT5G01410.1	1134	4.5	5.07718000000000024841	1.4605	3.8
TAS1C-3'D8[+]	AT2G20580.1	861	6	0.238293000000000004812	0.234449	0.61
TAS1C-3'D8[-]	AT5G62020.1	928	5	0.368970000000000020179	0.230606	0.6
TAS1C-3'D9[+]	AT1G75270.1	199	6	0.807120999999999977348	0.49196	1.28
TAS2-3'D2[-]	AT5G57040.1	760	2	1.69110999999999989107	0.395874	1.03
TAS2-3'D3[+]	AT1G30360.1	2344	5.5	1.47588000000000008072	0.534237	1.39
TAS2-3'D3[+]	AT1G72260.1	140	6	0.903206999999999982087	0.338222	0.88
TAS2-3'D3[+]	AT4G31540.1	2401	6	0.622635999999999967258	0.384343	1.0
TAS2-3'D3[-]	AT1G52670.1	1010	4.5	1.23758999999999996788	0.415091	1.08
TAS2-3'D3[-]	AT2G19760.1	645	4	1.39901000000000008683	0.13452	0.35
TAS2-3'D3[-]	AT3G51550.1	2979	6	2.10619999999999985008	0.26904	0.7
TAS2-3'D4[+]	AT2G26800.3	1037	6	0.895519999999999982698	0.349752	0.91
TAS2-3'D4[+]	AT5G35630.3	1421	6	5.50380000000000002558	0.695662	1.81
TAS2-3'D4[-]	AT1G47830.1	246	4	0.70334799999999997322	0.24598	0.64
TAS2-3'D4[-]	AT5G03040.3	1222	5	0.638009999999999966036	0.25751	0.67
TAS2-3'D5[+]	AT1G16705.2	344	6	0.45736900000000002553	0.315162	0.82
TAS2-3'D7[+]	AT5G43670.1	1633	5.5	0	0.476586	1.24
TAS2-3'D7[-]	AT5G23280.1	895	6	0.922424000000000021693	0.438151	1.14
TAS2-3'D8[-]	AT1G43170.9	1172	5	8.58623000000000047294	0.388187	1.01
TAS2-3'D9[+]	AT2G42600.2	2642	6	1.2491200000000000081	0.561141	1.46
TAS2-3'D9[-]	AT4G28740.1	1176	5.5	1.02620000000000000107	0.130677	0.34
TAS3A-5'D10[+]	AT2G20370.1	2219	6	0.826338000000000016954	0.288258	0.75
TAS3A-5'D1[+]	AT1G08820.2	111	5.5	0.307474999999999998312	0.13452	0.35
TAS3A-5'D1[+]	AT1G42550.1	2397	4.5	0.749469999999999969553	0.457369	1.19
TAS3A-5'D1[+]	AT1G75550.1	289	6	0.722566000000000041581	0.138364	0.36
TAS3A-5'D1[+]	AT3G17998.1	1550	6	1.74107999999999996099	0.322848	0.84
TAS3A-5'D1[+]	AT3G18000.1	1550	6	1.74107999999999996099	0.322848	0.84
TAS3A-5'D1[+]	AT3G29040.1	578	6	0.295943999999999984851	0.465055	1.21
TAS3A-5'D1[+]	AT3G62840.2	162	6	2.69424999999999981171	0.303631	0.79
TAS3A-5'D1[+]	AT5G66540.1	594	5.5	1.29139000000000003787	0.14605	0.38
TAS3A-5'D2[+]	AT1G07670.1	282	3.5	0	0.280571	0.73
TAS3A-5'D2[+]	AT3G26030.1	1451	4.5	0.534236999999999961908	0.169111	0.44
TAS3A-5'D2[-]	AT1G56210.1	1142	5.5	0.445838000000000012069	0.434308	1.13
TAS3A-5'D2[-]	AT5G48970.1	1260	5.5	0.595732000000000039286	0.288258	0.75
TAS3A-5'D4[+]	AT1G02190.2	1614	6	0.822494999999999976126	0.295944	0.77
TAS3A-5'D4[-]	AT3G02230.1	1223	3.5	8.98595000000000077023	1.07232	2.79
TAS3A-5'D4[-]	AT3G09860.1	455	4	2.43288999999999999702	1.03388	2.69
TAS3A-5'D4[-]	AT3G12260.1	259	6	3.74734999999999995879	0.292101	0.76
TAS3A-5'D4[-]	AT3G24490.1	117	2.5	1.84868999999999994444	0.0230606	0.06
TAS3A-5'D4[-]	AT5G67070.1	137	5	1.65651999999999999247	1.0531	2.74
TAS3A-5'D6[+]	AT1G12930.1	3073	6	0.27288400000000001544	0.388187	1.01
TAS3A-5'D6[+]	AT3G05932.1	932	5	0	0.422778	1.1
TAS3A-5'D6[+]	AT3G16840.1	1079	5.5	0.418933999999999973074	0.407404	1.06
TAS3A-5'D6[-]	AT1G67840.2	1915	6	1.14534000000000002473	0.24598	0.64
TAS3A-5'D7[+]	AT2G33860.1	1684	1.5	0.238293000000000004812	0.910894	2.37
TAS3A-5'D7[+]	AT3G52100.1	1072	6	0.399716999999999988979	0.222919	0.58
TAS3A-5'D7[+]	AT4G28750.1	329	6	10.6194000000000006168	0.215232	0.56
TAS3A-5'D7[+]	AT5G26742.3	1804	6	19.3785999999999987153	0.342066	0.89
TAS3A-5'D7[+]	AT5G60450.1	1884	2.5	0.326691999999999982407	0.557298	1.45
